,Year,NOC,Host_Country,Bronze,Gold,Silver,Total_Medals,region,Season,Is_Host
1573,2016,JPN,Brazil,34,17,13,64,,,
1574,2016,ARG,Brazil,0,21,1,22,,,
1575,2016,IRL,Brazil,0,0,3,3,,,
1576,2016,POL,Brazil,10,3,3,16,,,
1577,2016,POR,Brazil,1,0,0,1,,,
1578,2016,ROU,Brazil,10,4,2,16,,,
1579,2016,EGY,Brazil,3,0,0,3,,,
1580,2016,PHI,Brazil,0,0,1,1,,,
1581,2016,TUR,Brazil,4,1,3,8,,,
1582,2016,IRI,Brazil,4,3,1,8,,,
1583,2016,JAM,Brazil,2,11,17,30,,,
1584,2016,KOR,Brazil,10,13,3,26,,,
1585,2016,PUR,Brazil,0,1,0,1,,,
1586,2016,TTO,Brazil,1,0,0,1,,,
1587,2016,BUL,Brazil,6,0,1,7,,,
1588,2016,VEN,Brazil,2,0,1,3,,,
1589,2016,BAH,Brazil,5,1,0,6,,,
1590,2016,ETH,Brazil,5,1,2,8,,,
1591,2016,MAR,Brazil,1,0,0,1,,,
1592,2016,SGP,Brazil,0,1,0,1,,,
1593,2016,TPE,Brazil,4,1,0,5,,,
1594,2016,KEN,Brazil,1,6,6,13,,,
1595,2016,NGR,Brazil,18,0,0,18,,,
1596,2016,PRK,Brazil,2,2,3,7,,,
1597,2016,TUN,Brazil,3,0,0,3,,,
1598,2016,MGL,Brazil,1,0,1,2,,,
1599,2016,NIG,Brazil,0,0,1,1,,,
1600,2016,THA,Brazil,2,2,2,6,,,
1601,2016,ALG,Brazil,0,0,2,2,,,
1602,2016,CHN,Brazil,37,46,30,113,,,
1603,2016,CIV,Brazil,1,1,0,2,,,
1604,2016,DOM,Brazil,1,0,0,1,,,
1605,2016,INA,Brazil,0,2,2,4,,,
1606,2016,CRO,Brazil,2,7,15,24,,,
1607,2016,IOA,Brazil,1,1,0,2,,,
1608,2016,ISR,Brazil,2,0,0,2,,,
1609,2016,LTU,Brazil,5,0,2,7,,,
1610,2016,MAS,Brazil,1,0,7,8,,,
1611,2016,QAT,Brazil,0,0,1,1,,,
1612,2016,SLO,Brazil,1,1,2,4,,,
1613,2016,BLR,Brazil,7,1,4,12,,,
1614,2016,KAZ,Brazil,10,3,5,18,,,
1615,2016,UKR,Brazil,5,2,8,15,,,
1616,2016,UZB,Brazil,7,4,2,13,,,
1617,2016,ARM,Brazil,0,1,3,4,,,
1618,2016,AZE,Brazil,10,1,7,18,,,
1619,2016,BDI,Brazil,0,0,1,1,,,
1620,2016,CZE,Brazil,12,1,2,15,,,
1621,2016,GEO,Brazil,4,2,1,7,,,
1622,2016,SVK,Brazil,0,3,5,8,,,
1623,2016,VIE,Brazil,0,1,1,2,,,
1624,2016,UAE,Brazil,1,0,0,1,,,
1625,2016,SRB,Brazil,13,14,27,54,,,
1626,2016,TJK,Brazil,0,1,0,1,,,
1627,2016,BRN,Brazil,0,1,1,2,,,
1628,2016,GRN,Brazil,0,0,1,1,,,
1629,2016,FIJ,Brazil,0,13,0,13,,,
1630,2016,JOR,Brazil,0,1,0,1,,,
1631,2016,KOS,Brazil,0,1,0,1,,,
1632,2021,JPN,Japan,17,27,14,58,Japan,Summer,1.0
1633,2021,ANZ,Japan,22,17,7,46,Australia,Summer,0.0
1634,2021,NED,Japan,14,10,12,36,Netherlands,Summer,0.0
1635,2021,FRA,Japan,11,10,12,33,France,Summer,0.0
1636,2021,FRG,Japan,16,10,11,37,Germany,Summer,0.0
1637,2021,ITA,Japan,20,10,10,40,Italy,Summer,0.0
1638,2021,CAN,Japan,11,7,6,24,Canada,Summer,0.0
1639,2021,BRA,Japan,8,7,6,21,Brazil,Summer,0.0
1640,2021,NZL,Japan,7,7,6,20,New Zealand,Summer,0.0
1641,2021,CUB,Japan,5,7,3,15,Cuba,Summer,0.0
1642,2021,HUN,Japan,7,6,7,20,Hungary,Summer,0.0
1643,2021,POL,Japan,5,4,5,14,Poland,Summer,0.0
1644,2021,BOH,Japan,3,4,4,11,Czech Republic,Summer,0.0
1645,2021,KEN,Japan,2,4,4,10,Kenya,Summer,0.0
1646,2021,NOR,Japan,2,4,2,8,Norway,Summer,0.0
1647,2021,JAM,Japan,4,4,1,9,Jamaica,Summer,0.0
1648,2021,ESP,Japan,6,3,8,17,Spain,Summer,0.0
1649,2021,SWE,Japan,0,3,6,9,Sweden,Summer,0.0
1650,2021,SUI,Japan,6,3,4,13,Switzerland,Summer,0.0
1651,2021,DEN,Japan,4,3,4,11,Denmark,Summer,0.0
1652,2021,CRO,Japan,2,3,3,8,Croatia,Summer,0.0
1653,2021,SCG,Japan,5,3,1,9,Serbia,Summer,0.0
1654,2021,BEL,Japan,3,3,1,7,Belgium,Summer,0.0
1655,2021,BUL,Japan,2,3,1,6,Bulgaria,Summer,0.0
1656,2021,SLO,Japan,1,3,1,5,Slovenia,Summer,0.0
1657,2021,UZB,Japan,2,3,0,5,Uzbekistan,Summer,0.0
1658,2021,GEO,Japan,1,2,5,8,Georgia,Summer,0.0
1659,2021,TUR,Japan,9,2,2,13,Turkey,Summer,0.0
1660,2021,CRT,Japan,1,2,1,4,Greece,Summer,0.0
1661,2021,UGA,Japan,1,2,1,4,Uganda,Summer,0.0
1662,2021,ECU,Japan,0,2,1,3,Ecuador,Summer,0.0
1663,2021,IRL,Japan,2,2,0,4,Ireland,Summer,0.0
1664,2021,ISR,Japan,2,2,0,4,Israel,Summer,0.0
1665,2021,QAT,Japan,1,2,0,3,Qatar,Summer,0.0
1666,2021,BAH,Japan,0,2,0,2,Bahamas,Summer,0.0
1667,2021,KOS,Japan,0,2,0,2,Kosovo,Summer,0.0
1668,2021,UKR,Japan,12,1,6,19,Ukraine,Summer,0.0
1669,2021,BLR,Japan,3,1,3,7,Belarus,Summer,0.0
1670,2021,ROU,Japan,0,1,3,4,Romania,Summer,0.0
1671,2021,VEN,Japan,0,1,3,4,Venezuela,Summer,0.0
1672,2021,IND,Japan,4,1,2,7,India,Summer,0.0
1673,2021,PHI,Japan,1,1,2,4,Philippines,Summer,0.0
1674,2021,SVK,Japan,1,1,2,4,Slovakia,Summer,0.0
1675,2021,RSA,Japan,0,1,2,3,South Africa,Summer,0.0
1676,2021,AUT,Japan,5,1,1,7,Austria,Summer,0.0
1677,2021,EGY,Japan,4,1,1,6,Egypt,Summer,0.0
1678,2021,INA,Japan,3,1,1,5,Indonesia,Summer,0.0
1679,2021,ETH,Japan,2,1,1,4,Ethiopia,Summer,0.0
1680,2021,POR,Japan,2,1,1,4,Portugal,Summer,0.0
1681,2021,TUN,Japan,0,1,1,2,Tunisia,Summer,0.0
1682,2021,EST,Japan,1,1,0,2,Estonia,Summer,0.0
1683,2021,FIJ,Japan,1,1,0,2,Fiji,Summer,0.0
1684,2021,LAT,Japan,1,1,0,2,Latvia,Summer,0.0
1685,2021,THA,Japan,1,1,0,2,Thailand,Summer,0.0
1686,2021,BER,Japan,0,1,0,1,Bermuda,Summer,0.0
1687,2021,MAR,Japan,0,1,0,1,Morocco,Summer,0.0
1688,2021,PUR,Japan,0,1,0,1,Puerto Rico,Summer,0.0
1689,2021,COL,Japan,1,0,4,5,Colombia,Summer,0.0
1690,2021,AZE,Japan,4,0,3,7,Azerbaijan,Summer,0.0
1691,2021,DOM,Japan,2,0,3,5,Dominican Republic,Summer,0.0
1692,2021,ARM,Japan,2,0,2,4,Armenia,Summer,0.0
1693,2021,KGZ,Japan,1,0,2,3,Kyrgyzstan,Summer,0.0
1694,2021,MGL,Japan,3,0,1,4,Mongolia,Summer,0.0
1695,2021,ARG,Japan,2,0,1,3,Argentina,Summer,0.0
1696,2021,SMR,Japan,2,0,1,3,San Marino,Summer,0.0
1697,2021,JOR,Japan,1,0,1,2,Jordan,Summer,0.0
1698,2021,MAL,Japan,1,0,1,2,Malaysia,Summer,0.0
1699,2021,NGR,Japan,1,0,1,2,Nigeria,Summer,0.0
1700,2021,BRN,Japan,0,0,1,1,Bahrain,Summer,0.0
1701,2021,KSA,Japan,0,0,1,1,Saudi Arabia,Summer,0.0
1702,2021,LTU,Japan,0,0,1,1,Lithuania,Summer,0.0
1703,2021,NAM,Japan,0,0,1,1,Namibia,Summer,0.0
1704,2021,TKM,Japan,0,0,1,1,Turkmenistan,Summer,0.0
1705,2021,KAZ,Japan,8,0,0,8,Kazakhstan,Summer,0.0
1706,2021,MEX,Japan,4,0,0,4,Mexico,Summer,0.0
1707,2021,FIN,Japan,2,0,0,2,Finland,Summer,0.0
1708,2021,BOT,Japan,1,0,0,1,Botswana,Summer,0.0
1709,2021,BUR,Japan,1,0,0,1,Burkina Faso,Summer,0.0
1710,2021,GHA,Japan,1,0,0,1,Ghana,Summer,0.0
1711,2021,GRN,Japan,1,0,0,1,Grenada,Summer,0.0
1712,2021,KUW,Japan,1,0,0,1,Kuwait,Summer,0.0
1713,2021,USA,Japan,33,39,41,113,USA,Summer,0.0
1714,2021,CHN,Japan,18,38,32,88,China,Summer,0.0
1715,2021,GBR,Japan,22,22,21,65,UK,Summer,0.0
1716,2021,RUS,Japan,23,20,28,71,Russia,Summer,0.0
1717,2021,KOR,Japan,10,6,4,20,South Korea,Summer,0.0
1718,2021,IRI,Japan,2,3,2,7,Iran,Summer,0.0
1719,2021,TPE,Japan,6,2,4,12,Taiwan,Summer,0.0
1720,2021,HKG,Japan,3,1,2,6,China,Summer,0.0
1721,2021,MKD,Japan,0,0,1,1,Macedonia,Summer,0.0
1722,2021,CIV,Japan,1,0,0,1,Ivory Coast,Summer,0.0
1723,2021,MDA,Japan,1,0,0,1,Moldova,Summer,0.0
1724,2021,SYR,Japan,1,0,0,1,Syria,Summer,0.0
